step,time,target,thread,frame,line,source
18,2026-06-01 01:27:42.294,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"CommonModule.Глобальный.Module.глЗначениеПеременной(Имя = ""ПользовательИзмененн..."") строка: 20",20,КонецФункции
17,2026-06-01 01:27:42.133,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"CommonModule.Глобальный.Module.глЗначениеПеременной(Имя = ""ПользовательИзмененн..."") строка: 18",18,Возврат ПолученноеЗначение;
16,2026-06-01 01:27:41.978,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"CommonModule.Глобальный.Module.глЗначениеПеременной(Имя = ""ПользовательИзмененн..."") строка: 16",16,КонецЕсли;
15,2026-06-01 01:27:41.821,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"CommonModule.Глобальный.Module.глЗначениеПеременной(Имя = ""ПользовательИзмененн..."") строка: 14",14,Если КэшИзменен Тогда
14,2026-06-01 01:27:41.664,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"CommonModule.Глобальный.Module.глЗначениеПеременной(Имя = ""ПользовательИзмененн..."") строка: 12",12,"ПолученноеЗначение = ОбщегоНазначенияРТ.ПолучитьЗначениеПеременной(Имя, Кэш, КэшИзменен);"
13,2026-06-01 01:27:41.507,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"ОбщийМодуль.ОбщегоНазначенияРТ.Модуль.ПолучитьЗначениеПеременной(ИмяПараметра = ""ПользовательИзмененн..."", Кэш = Структура, КэшИзменен = Ложь) строка: 863",863,КонецФункции
12,2026-06-01 01:27:41.378,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"ОбщийМодуль.ОбщегоНазначенияРТ.Модуль.ПолучитьЗначениеПеременной(ИмяПараметра = ""ПользовательИзмененн..."", Кэш = Структура, КэшИзменен = Ложь) строка: 842",842,Возврат НайденноеЗначение;
11,2026-06-01 01:27:41.224,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"ОбщийМодуль.ОбщегоНазначенияРТ.Модуль.ПолучитьЗначениеПеременной(ИмяПараметра = ""ПользовательИзмененн..."", Кэш = Структура, КэшИзменен = Ложь) строка: 841",841,"Если Кэш.Свойство(ИмяПараметра, НайденноеЗначение) Тогда"
10,2026-06-01 01:27:41.089,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"ОбщийМодуль.ОбщегоНазначенияРТ.Модуль.ПолучитьЗначениеПеременной(ИмяПараметра = ""ПользовательИзмененн..."", Кэш = Структура, КэшИзменен = Ложь) строка: 840",840,НайденноеЗначение = Неопределено;
9,2026-06-01 01:27:40.941,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"ОбщийМодуль.ОбщегоНазначенияРТ.Модуль.ПолучитьЗначениеПеременной(ИмяПараметра = ""ПользовательИзмененн..."", Кэш = Структура, КэшИзменен = Ложь) строка: 835",835,Если Кэш = Неопределено Тогда
8,2026-06-01 01:27:40.798,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"CommonModule.Глобальный.Module.глЗначениеПеременной(Имя = ""ПользовательИзмененн..."") строка: 12",12,"ПолученноеЗначение = ОбщегоНазначенияРТ.ПолучитьЗначениеПеременной(Имя, Кэш, КэшИзменен);"
7,2026-06-01 01:27:40.662,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"CommonModule.Глобальный.Module.глЗначениеПеременной(Имя = ""ПользовательИзмененн..."") строка: 11",11,КэшИзменен = Ложь;
6,2026-06-01 01:27:40.509,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"CommonModule.Глобальный.Module.глЗначениеПеременной(Имя = ""ПользовательИзмененн..."") строка: 10",10,Кэш = ПараметрыСеанса.ОбщиеЗначения.Получить();
5,2026-06-01 01:27:40.341,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],Обработка.РМКУправляемыйРежим.Форма.ФормаМеню.Форма.УстановитьДоступностьЭлементов() строка: 578,578,"Пользователь = глЗначениеПеременной(""ПользовательИзмененныхПрав"");"
4,2026-06-01 01:27:40.216,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"Обработка.РМКУправляемыйРежим.Форма.ФормаМеню.Форма.ПриСозданииНаСервере(Отказ = Ложь, СтандартнаяОбработка = Истина) строка: 28",28,УстановитьДоступностьЭлементов();
3,2026-06-01 01:27:40.088,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"Обработка.РМКУправляемыйРежим.Форма.ФормаМеню.Форма.ПриСозданииНаСервере(Отказ = Ложь, СтандартнаяОбработка = Истина) строка: 26",26,ПараметрыСеанса.ФормаРабочегоМестаКассира = Строка(УникальныйИдентификатор);
2,2026-06-01 01:27:39.950,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"Обработка.РМКУправляемыйРежим.Форма.ФормаМеню.Форма.ПриСозданииНаСервере(Отказ = Ложь, СтандартнаяОбработка = Истина) строка: 24",24,КонецЕсли;
1,2026-06-01 01:27:39.874,Розница_тест на [http://Cougar:1552/],Сервер (файловый вариант) [Администратор],"Обработка.РМКУправляемыйРежим.Форма.ФормаМеню.Форма.ПриСозданииНаСервере(Отказ = Ложь, СтандартнаяОбработка = Истина) строка: 22",22,"Если Не ОбщегоНазначения.ПриСозданииНаСервере(ЭтотОбъект, Отказ, СтандартнаяОбработка) Тогда"
